1
Data
Kevin;Yarnell;TeamSoloMid;Top;Gangplank;13;18;true;
Dennis;Johnsen;TeamSoloMid;Jungle;Kha'zix;7;24;true;
Soren;Bjerg;TeamSoloMid;Mid;Ahri;21;8;true;
John;Mona;TeamSoloMid;Mid;N/A;0;0;false;
Yiliang;Peng;TeamSoloMid;ADC;Vayne;19;9;true;
Vincent;Wang;TeamSoloMid;Support;Thresh;2;29;true;
Mateusz;Szkudlarek;Fnatic;Top;Gnar;5;16;true;
Lee;Da-yoon;Fnatic;Jungle;Sejuani;4;22;true;
Fabian;Diepstraten;Fnatic;Mid;Lux;15;17;true;
Martin;Larsson;Fnatic;ADC;Jhin;22;7;true;
Bora;Kim;Fnatic;Support;Lulu;7;19;true;
